mode: serial True, gpu True
GPU use = True
transTime, feedNetTime, netTime, thread#1, thread#2
5038.261413574219, 4225.254058837891, 90736.38916015625, 157914.1616821289, 94961.64321899414
4915.2374267578125, 297.0695495605469, 63450.09803771973, 75103.759765625, 63747.16758728027
4674.9114990234375, 460.3862762451172, 71880.34057617188, 82016.9448852539, 72340.72685241699
3919.1246032714844, 235.08071899414062, 71002.00653076172, 80823.18305969238, 71237.08724975586
3699.064254760742, 234.12704467773438, 58985.47172546387, 67723.03581237793, 59219.5987701416
4066.2288665771484, 269.17457580566406, 64089.53666687012, 73383.80813598633, 64358.71124267578
3277.5402069091797, 260.1146697998047, 55855.27420043945, 64589.500427246094, 56115.38887023926
2705.5740356445312, 247.00164794921875, 56153.059005737305, 64375.63896179199, 56400.06065368652
4279.136657714844, 352.62107849121094, 43277.02522277832, 53364.51530456543, 43629.64630126953
5987.882614135742, 267.5056457519531, 45569.18144226074, 58924.67498779297, 45836.687088012695
----------------

